,ano,c_digo_departamento,departamento,tasa_matriculacion_5_16,cobertura_neta,desercion
0,2011,5,Antioquia,94.01,93.85,3.97
1,2011,8,Atlántico,99.32,99.05,2.76
2,2011,11,"Bogotá, D.C.",90.7,90.29,3.95
3,2011,13,Bolívar,91.57,91.4,3.14
4,2011,15,Boyacá,86.16,86.11,3.07
5,2011,17,Caldas,87.04,86.98,4.13
6,2011,18,Caquetá,88.78,88.76,3.64
7,2011,19,Cauca,86.35,86.21,2.75
8,2011,20,Cesar,94.75,94.57,7.07
9,2011,23,Córdoba,94.53,94.46,4.59
10,2011,25,Cundinamarca,92.13,91.93,3.6
11,2011,27,Chocó,83.79,83.79,4.29
12,2011,41,Huila,90.52,90.47,4.38
13,2011,44,La Guajira,77.12,77,6.17
14,2011,47,Magdalena,94.47,94.32,3.63
15,2011,50,Meta,93.65,93.59,5.55
16,2011,52,Nariño,80.53,80.5,10.17
17,2011,54,Norte de Santander,89.04,88.96,6.87
18,2011,63,Quindio,90.87,90.83,5.04
19,2011,66,Risaralda,95.61,95.43,4.79
20,2011,68,Santander,92.49,92.4,3.68
21,2011,70,Sucre,103.27,103.2,6.74
22,2011,73,Tolima,88.8,88.71,4.61
23,2011,76,Valle del Cauca,88.51,88.33,4.24
24,2011,81,Arauca,74.15,74.11,2.14
25,2011,85,Casanare,101.11,101.05,3.88
26,2011,86,Putumayo,80.46,80.46,4.18
27,2011,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",67.28,67.23,1.72
28,2011,91,Amazonas,82.34,82.32,5.46
29,2011,94,Guainía,74.87,74.87,10.94
30,2011,95,Guaviare,64.04,64.02,9.02
31,2011,97,Vaupés,62.18,62.18,9.94
32,2011,99,Vichada,73.07,72.98,7.33
33,2012,5,Antioquia,92.79,92.65,4.01
34,2012,8,Atlántico,91.59,91.43,3.32
35,2012,11,"Bogotá, D.C.",86.94,86.52,3.89
36,2012,13,Bolívar,88.97,88.87,3.39
37,2012,15,Boyacá,85.7,85.64,3.23
38,2012,17,Caldas,84.55,84.5,4.64
39,2012,18,Caquetá,83.28,83.25,7.23
40,2012,19,Cauca,83.48,83.4,4.02
41,2012,20,Cesar,94.15,94.01,5.13
42,2012,23,Córdoba,93.78,93.69,2.95
43,2012,25,Cundinamarca,91.17,90.97,2.94
44,2012,27,Chocó,80.97,80.95,2.09
45,2012,41,Huila,89.77,89.73,5.23
46,2012,44,La Guajira,75.42,75.33,6.81
47,2012,47,Magdalena,91.82,91.64,6.22
48,2012,50,Meta,93.35,93.29,5.85
49,2012,52,Nariño,77.75,77.73,1.84
50,2012,54,Norte de Santander,86,85.93,4.89
51,2012,63,Quindio,88.77,88.74,6.23
52,2012,66,Risaralda,92.91,92.77,7.04
53,2012,68,Santander,92.21,92.11,4.67
54,2012,70,Sucre,95.6,95.55,4.83
55,2012,73,Tolima,87.47,87.42,5.11
56,2012,76,Valle del Cauca,88.26,88.09,4.32
57,2012,81,Arauca,72.33,72.29,4.99
58,2012,85,Casanare,103.94,103.88,6.52
59,2012,86,Putumayo,78.17,78.17,6.16
60,2012,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",68.7,68.65,1.26
61,2012,91,Amazonas,81.87,81.87,4.7
62,2012,94,Guainía,70.82,70.82,8.91
63,2012,95,Guaviare,59.2,59.18,4.86
64,2012,97,Vaupés,62.32,62.32,7.62
65,2012,99,Vichada,66.75,66.75,5.07
66,2013,5,Antioquia,92.06,91.93,3.57
67,2013,8,Atlántico,86.41,86.22,3.12
68,2013,11,"Bogotá, D.C.",84.5,84.07,3.68
69,2013,13,Bolívar,89.66,89.55,2.56
70,2013,15,Boyacá,85.1,85.05,2.45
71,2013,17,Caldas,82.58,82.54,4.1
72,2013,18,Caquetá,80.95,80.94,6.55
73,2013,19,Cauca,84.34,84.33,3.74
74,2013,20,Cesar,94.92,94.8,4.53
75,2013,23,Córdoba,93.39,93.35,2.3
76,2013,25,Cundinamarca,90.49,90.28,3.17
77,2013,27,Chocó,79.59,79.59,4.59
78,2013,41,Huila,89.73,89.68,4.78
79,2013,44,La Guajira,74.8,74.73,5.27
80,2013,47,Magdalena,96.03,95.83,3.19
81,2013,50,Meta,94.83,94.76,4.49
82,2013,52,Nariño,76.6,76.58,2.9
83,2013,54,Norte de Santander,86.42,86.37,3.66
84,2013,63,Quindio,85.89,85.87,5.3
85,2013,66,Risaralda,89.97,89.81,5.17
86,2013,68,Santander,93.4,93.28,3.6
87,2013,70,Sucre,96.68,96.64,3.83
88,2013,73,Tolima,87.02,86.95,4.01
89,2013,76,Valle del Cauca,87.56,87.37,3.04
90,2013,81,Arauca,70.71,70.7,4.17
91,2013,85,Casanare,103.73,103.69,3.67
92,2013,86,Putumayo,76.96,76.96,5.68
93,2013,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",67.93,67.89,0.91
94,2013,91,Amazonas,81.84,81.83,3.29
95,2013,94,Guainía,72.57,72.56,4.93
96,2013,95,Guaviare,57.33,57.32,4.02
97,2013,97,Vaupés,62.25,62.25,8.53
98,2013,99,Vichada,74.61,74.6,9.17
99,2014,5,Antioquia,90.97,90.85,2.33
100,2014,8,Atlántico,85.81,85.58,3.29
101,2014,11,"Bogotá, D.C.",80.79,80.38,2.5
102,2014,13,Bolívar,87.5,87.41,3.53
103,2014,15,Boyacá,83.94,83.89,1.89
104,2014,17,Caldas,80.96,80.93,2.65
105,2014,18,Caquetá,79.36,79.33,4.23
106,2014,19,Cauca,84.6,84.58,4.54
107,2014,20,Cesar,96.29,96.14,4.95
108,2014,23,Córdoba,93.23,93.19,2.11
109,2014,25,Cundinamarca,89.99,89.79,2.6
110,2014,27,Chocó,81.15,81.14,3.53
111,2014,41,Huila,88.35,88.29,3.33
112,2014,44,La Guajira,74.91,74.87,4.48
113,2014,47,Magdalena,90.35,90.1,2.96
114,2014,50,Meta,94.77,94.72,3.02
115,2014,52,Nariño,75.23,75.22,2.91
116,2014,54,Norte de Santander,87.2,87.15,3.3
117,2014,63,Quindio,83.93,83.9,3.68
118,2014,66,Risaralda,88.18,88.02,3.67
119,2014,68,Santander,93.63,93.52,2.82
120,2014,70,Sucre,96.88,96.82,5.83
121,2014,73,Tolima,86.36,86.3,4.16
122,2014,76,Valle del Cauca,85.52,85.34,2.16
123,2014,81,Arauca,71.55,71.51,5.59
124,2014,85,Casanare,103.26,103.24,2.27
125,2014,86,Putumayo,77.72,77.71,4.33
126,2014,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",68.17,68.13,1.22
127,2014,91,Amazonas,82.13,82.11,3.04
128,2014,94,Guainía,73.67,73.67,4.88
129,2014,95,Guaviare,56.23,56.23,2.57
130,2014,97,Vaupés,62.82,62.82,7.86
131,2014,99,Vichada,74.52,74.51,5.09
132,2015,5,Antioquia,89.92,89.79,3.82
133,2015,8,Atlántico,86.17,85.92,1.39
134,2015,11,"Bogotá, D.C.",82.2,81.77,3.63
135,2015,13,Bolívar,88.78,88.69,3.01
136,2015,15,Boyacá,83.62,83.57,2.22
137,2015,17,Caldas,78.9,78.86,3.67
138,2015,18,Caquetá,73.14,73.12,4.87
139,2015,19,Cauca,82.21,82.21,2.17
140,2015,20,Cesar,95.52,95.39,4.38
141,2015,23,Córdoba,89.54,89.5,2.26
142,2015,25,Cundinamarca,90.72,90.47,3.27
143,2015,27,Chocó,80.48,80.48,4.78
144,2015,41,Huila,87.64,87.58,5.17
145,2015,44,La Guajira,74.12,74.08,2.29
146,2015,47,Magdalena,93.61,93.43,3.54
147,2015,50,Meta,92.19,92.14,3.3
148,2015,52,Nariño,73.53,73.51,1.23
149,2015,54,Norte de Santander,85.89,85.84,2.66
150,2015,63,Quindio,81.93,81.86,5.9
151,2015,66,Risaralda,88.12,87.94,5.05
152,2015,68,Santander,94.5,94.37,3.17
153,2015,70,Sucre,95.8,95.74,2.65
154,2015,73,Tolima,85.48,85.41,3.71
155,2015,76,Valle del Cauca,84.44,84.26,2.78
156,2015,81,Arauca,72.88,72.84,3.51
157,2015,85,Casanare,102.43,102.39,3.75
158,2015,86,Putumayo,76.71,76.7,5.26
159,2015,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",67.34,67.3,0.63
160,2015,91,Amazonas,81.49,81.46,4.76
161,2015,94,Guainía,75.3,75.3,7.64
162,2015,95,Guaviare,54.91,54.9,4.7
163,2015,97,Vaupés,64.08,64.08,8.08
164,2015,99,Vichada,76.82,76.81,9.23
165,2016,5,Antioquia,88.2,88.08,4.47
166,2016,8,Atlantico,89.7,89.35,2.13
167,2016,11,Bogota,80.7,80.26,2.08
168,2016,13,Bolivar,89.5,89.41,2.97
169,2016,15,Boyaca,83.8,83.7,2.46
170,2016,17,Caldas,77.4,77.4,4.28
171,2016,18,Caqueta,75.4,75.36,6.88
172,2016,19,Cauca,83.9,83.84,2.84
173,2016,20,Cesar,97.6,97.44,5.07
174,2016,23,Cordoba,90.3,90.28,3.03
175,2016,25,Cundinamarca,91.2,90.9,3.68
176,2016,27,Choco,79.8,79.85,3.58
177,2016,41,Huila,85.9,85.84,5.23
178,2016,44,La Guajira,75.7,75.59,4.62
179,2016,47,Magdalena,92.5,92.33,3.2
180,2016,50,Meta,92.4,92.28,5.35
181,2016,52,Nariño,71.1,71.13,1.67
182,2016,54,Norte Santander,88.6,88.51,4.84
183,2016,63,Quindio,79.8,79.74,6.18
184,2016,66,Risaralda,87.4,87.16,4.67
185,2016,68,Santander,95.2,95,3.97
186,2016,70,Sucre,96.8,96.72,2.95
187,2016,73,Tolima,84.7,84.59,3.7
188,2016,76,Valle,81.4,81.23,4.34
189,2016,81,Arauca,74,73.95,3.72
190,2016,85,Casanare,100.2,100.18,4.21
191,2016,86,Putumayo,76.1,76.09,7.53
192,2016,88,San Andres,68.2,68.15,2.26
193,2016,91,Amazonas,81.4,81.35,5.06
194,2016,94,Guainia,77.6,77.64,8.21
195,2016,95,Guaviare,54.8,54.83,4.7
196,2016,97,Vaupes,64.2,64.17,6.6
197,2016,99,Vichada,77.8,77.78,8.16
198,2017,5,Antioquia,86.1,86,4.15
199,2017,8,Atlantico,91.1,90.72,1.28
200,2017,11,Bogota,79.9,79.45,1.62
201,2017,13,Bolivar,90.7,90.58,2.65
202,2017,15,Boyaca,83.5,83.48,2.15
203,2017,17,Caldas,75.8,75.72,3.47
204,2017,18,Caqueta,74.4,74.37,6.73
205,2017,19,Cauca,83.3,83.32,2.76
206,2017,20,Cesar,99.1,98.92,3.98
207,2017,23,Cordoba,88.8,88.72,3.03
208,2017,25,Cundinamarca,91.8,91.56,2.57
209,2017,27,Choco,79.2,79.19,2.38
210,2017,41,Huila,85.3,85.17,4.14
211,2017,44,La Guajira,75.5,75.44,2.98
212,2017,47,Magdalena,93.6,93.3,2.57
213,2017,50,Meta,90.9,90.88,4.2
214,2017,52,Nariño,70.2,70.16,1.4
215,2017,54,Norte Santander,90.4,90.3,3.6
216,2017,63,Quindio,77.8,77.69,4.92
217,2017,66,Risaralda,86.8,86.62,4.82
218,2017,68,Santander,96.5,96.33,2.67
219,2017,70,Sucre,97.3,97.2,2.7
220,2017,73,Tolima,84,83.91,2.93
221,2017,76,Valle,80.4,80.21,3.71
222,2017,81,Arauca,75,75.02,3.63
223,2017,85,Casanare,97.8,97.72,2.68
224,2017,86,Putumayo,75.2,75.24,5.74
225,2017,88,San Andres,67.8,67.64,1.15
226,2017,91,Amazonas,83.6,82.1,4.88
227,2017,94,Guainia,80,79.98,7.68
228,2017,95,Guaviare,55,55.02,4.34
229,2017,97,Vaupes,66.5,65.38,8
230,2017,99,Vichada,77.9,77.93,8.65
231,2018,5,Antioquia,84.72,94.11,3.97
232,2018,8,Atlántico,92.53,91.34,1.55
233,2018,11,"Bogotá, D.C.",78.71,96.51,1.65
234,2018,13,Bolívar,92.71,98.6,2.75
235,2018,15,Boyacá,83.54,96.54,2.07
236,2018,17,Caldas,74.38,87.08,2.96
237,2018,18,Caquetá,73.14,92.04,5.5
238,2018,19,Cauca,83.72,83.17,2.58
239,2018,20,Cesar,101.41,90.73,3.98
240,2018,23,Córdoba,87.95,94.72,2.23
241,2018,25,Cundinamarca,92.49,97.91,2.89
242,2018,27,Chocó,79.81,80.95,3.16
243,2018,41,Huila,85.04,94.28,4.21
244,2018,44,La Guajira,77.72,90.55,2.77
245,2018,47,Magdalena,95.21,97.69,3.26
246,2018,50,Meta,90.3,92.51,4.47
247,2018,52,Nariño,67.88,84.54,1.34
248,2018,54,Norte de Santander,93.58,91.62,3.95
249,2018,63,Quindio,76.15,98.35,4.17
250,2018,66,Risaralda,86.17,98.4,4.23
251,2018,68,Santander,97.79,96.06,3.2
252,2018,70,Sucre,98.08,95.99,2.78
253,2018,73,Tolima,83.88,98.54,3.02
254,2018,76,Valle del Cauca,79.27,80.36,3.26
255,2018,81,Arauca,77.02,94.93,2.63
256,2018,85,Casanare,96.81,93.05,2.69
257,2018,86,Putumayo,75,84.28,5.21
258,2018,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",67.34,93.4,1.97
259,2018,91,Amazonas,81.13,81.46,4.87
260,2018,94,Guainía,81.64,62.28,7.14
261,2018,95,Guaviare,55.7,84.61,3.36
262,2018,97,Vaupés,61.64,50.79,3.88
263,2018,99,Vichada,78.13,53.74,7.14
264,2019,5,Antioquia,94,93.83,4.02
265,2019,8,Atlántico,92.07,91.69,1.26
266,2019,11,"Bogotá, D.C.",96.82,96.3,1.6
267,2019,13,Bolívar,99.44,99.33,2.99
268,2019,15,Boyacá,96.6,96.51,2.05
269,2019,17,Caldas,85.98,85.88,3.31
270,2019,18,Caquetá,90.52,90.49,5.32
271,2019,19,Cauca,84.42,84.39,2.78
272,2019,20,Cesar,90.77,90.57,4.11
273,2019,23,Córdoba,94.23,94.16,2.64
274,2019,25,Cundinamarca,96.14,95.86,3.02
275,2019,27,Chocó,82.64,82.64,2.8
276,2019,41,Huila,94.2,94.12,4.48
277,2019,44,La Guajira,92.92,92.86,2.51
278,2019,47,Magdalena,97.49,97.27,3.5
279,2019,50,Meta,93.59,93.51,3.97
280,2019,52,Nariño,84,83.95,1.45
281,2019,54,Norte de Santander,92.25,92.18,3.25
282,2019,63,Quindio,96.77,96.73,3.94
283,2019,66,Risaralda,99.14,98.88,4.99
284,2019,68,Santander,96.38,96.2,3.01
285,2019,70,Sucre,95.93,95.88,3
286,2019,73,Tolima,99.2,99.1,3.7
287,2019,76,Valle del Cauca,81.68,81.46,3.92
288,2019,81,Arauca,93.09,93.06,4.02
289,2019,85,Casanare,93.46,93.43,3.01
290,2019,86,Putumayo,84.83,84.83,5.39
291,2019,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",91.92,91.87,2.08
292,2019,91,Amazonas,81.4,81.4,4.17
293,2019,94,Guainía,66.26,66.26,5.7
294,2019,95,Guaviare,83.11,83.09,4.47
295,2019,97,Vaupés,52.33,52.33,3.04
296,2019,99,Vichada,55.51,55.51,7.63
297,2020,5,Antioquia,93.59,93.43,2.30
298,2020,8,Atlántico,92.75,92.38,1.41
299,2020,11,Bogotá D.C.,96.41,95.89,0.46
300,2020,13,Bolívar,98.91,98.80,2.03
301,2020,15,Boyacá,94.91,94.84,1.70
302,2020,17,Caldas,84.65,84.57,2.35
303,2020,18,Caquetá,88.94,88.91,6.28
304,2020,19,Cauca,85.00,84.97,1.59
305,2020,20,Cesar,89.88,89.73,8.58
306,2020,23,Córdoba,93.27,93.21,2.54
307,2020,25,Cundinamarca,93.68,93.42,2.78
308,2020,27,Chocó,83.98,83.97,2.04
309,2020,41,Huila,93.46,93.38,2.49
310,2020,44,La Guajira,94.28,94.20,2.08
311,2020,47,Magdalena,96.03,95.83,3.87
312,2020,50,Meta,93.91,93.83,2.47
313,2020,52,Nariño,84.15,84.10,1.75
314,2020,54,Norte de Santander,90.24,90.16,3.94
315,2020,63,Quindio,95.97,95.93,3.07
316,2020,66,Risaralda,98.90,98.64,2.89
317,2020,68,Santander,95.97,95.83,1.85
318,2020,70,Sucre,95.22,95.17,2.00
319,2020,73,Tolima,99.37,99.27,3.29
320,2020,76,Valle del Cauca,82.18,81.96,2.73
321,2020,81,Arauca,92.84,92.81,3.93
322,2020,85,Casanare,94.38,94.35,2.11
323,2020,86,Putumayo,84.42,84.41,7.42
324,2020,88,Archipiélago de San Andrés. Providencia y Santa Catalina,92.77,92.67,1.41
325,2020,91,Amazonas,81.26,81.24,2.37
326,2020,94,Guainía,70.52,70.51,3.53
327,2020,95,Guaviare,83.07,83.06,4.41
328,2020,97,Vaupés,53.47,53.47,2.54
329,2020,99,Vichada,60.15,60.14,3.07
